単位数,曜日時限,開講区分,担当教員,授業科目,曜日,開講年度学期,row_index
2.0単位,月4 月5,週間授業,豊田　新／小坂　圭二／内田　乃,F13020 物理学基礎実験 月45,1,2025年度春学期,22
2.0単位,月1,週間授業,若松　寛,F13170 有機反応化学,1,2025年度秋学期,23
2.0単位,月3,週間授業,満身　稔／佐藤　泰史,F13220 無機化学演習,1,2025年度秋学期,24
2.0単位,月3,週間授業,酒井　誠,F13270 量子化学,1,2025年度春学期,25
2.0単位,月1,週間授業,岩永　哲夫,F13310 有機分析化学,1,2025年度春学期,26
2.0単位,月3,週間授業,佐藤　泰史,F13530 無機化学Ⅲ,1,2025年度春学期,27
2.0単位,月2,週間授業,横山　崇,F13590 分析化学Ⅰ,1,2025年度春学期,28
2.0単位,月3,週間授業,横山　崇,F13600 分析化学Ⅱ,1,2025年度秋学期,29
2.0単位,月4 月5,週間授業,水野　信哉／託見　健,F13780 動物生理・生化学実習 月45,1,2025年度秋学期,30
2.0単位,月5,週間授業,目加田　和之／安藤　和子,F13860 情報リテラシー,1,2025年度春学期,31
2.0単位,月1,週間授業,村上　貴弘,F13940 動物比較解剖学,1,2025年度春学期,32
2.0単位,月2,週間授業,託見　健,F13950 動物機能解剖学,1,2025年度春学期,33
2.0単位,月4,週間授業,布目　三夫,F13960 動物遺伝学,1,2025年度春学期,34
2.0単位,月3,週間授業,水野　信哉,F13970 生化学,1,2025年度春学期,35
2.0単位,月2,週間授業,小林　秀司,F14030 動物系統分類学,1,2025年度秋学期,36
2.0単位,月3,週間授業,小林　秀司,F14040 寄生動物学,1,2025年度春学期,37
2.0単位,月1,週間授業,片山　誠一,F14420 微生物学,1,2025年度春学期,38
2.0単位,月2,週間授業,橋川　直也,F14570 分子遺伝学,1,2025年度春学期,39
2.0単位,月2,週間授業,富安　聡／片岡　健,F14590 一般検査寄生虫学,1,2025年度春学期,40
2.0単位,月2,週間授業,松永　望,F14620 輸血検査学,1,2025年度秋学期,41
1.0単位,月3 月4 月5,週間授業(学期後半),逢坂　大樹／富安　聡／前田　なつ美,F14700 生化学検査学実習 (後半)月345,1,2025年度秋学期,42
1.0単位,月3 月4 月5,週間授業(学期前半),富安　聡／逢坂　大樹／片岡　健／前田　なつ美,F14710 一般検査寄生虫学実習 (前半)月345,1,2025年度秋学期,43
1.0単位,月3 月4 月5,週間授業(学期後半),片岡　健／児島　葉子,F14720 血液検査学実習 (後半)月345,1,2025年度秋学期,44
2.0単位,月3,週間授業,近藤　千尋,F14880 ＣＡＥⅡ,1,2025年度秋学期,45
2.0単位,月3 月4,週間授業,中井　賢治,F14890 機械製図Ⅰ 月34 (機シ以外は教職の教科に関する科目),1,2025年度春学期,46
2.0単位,月3 月4,週間授業,田中　雅次,F14900 機械製図Ⅱ 月34,1,2025年度秋学期,47
2.0単位,月4,週間授業,中川　惠友,F14950 マテリアルサイエンスⅠ,1,2025年度春学期,48
2.0単位,月4,週間授業,中川　惠友,F14960 マテリアルサイエンスⅡ,1,2025年度秋学期,49
2.0単位,月3,週間授業,吉田　浩治,F15030 機械力学Ⅰ,1,2025年度春学期,50
2.0単位,月3,週間授業,林　良太,F15040 機械力学Ⅱ,1,2025年度秋学期,51
2.0単位,月1,週間授業,關　正憲,F15120 計測工学,1,2025年度秋学期,52
2.0単位,月4,週間授業,吉田　浩治,F15290 ロボット工学,1,2025年度秋学期,53
2.0単位,月2,週間授業,中井　賢治,F15310 弾塑性力学の基礎,1,2025年度春学期,54
2.0単位,月2,週間授業,桑木　賢也,F15400 機械数学,1,2025年度秋学期,55
2.0単位,月3,週間授業,加地　博子,F15440 数学Ⅰ,1,2025年度春学期,56
2.0単位,月2,週間授業,七戸　希,F15450 数学Ⅱ,1,2025年度秋学期,57
2.0単位,月1,週間授業,中谷　達行,F15460 数学Ⅲ,1,2025年度春学期,58
2.0単位,月4,週間授業,栗田　満史,F15490 電磁気学Ⅰ,1,2025年度秋学期,59
2.0単位,月3,週間授業,七戸　希,F15630 電気電子計測,1,2025年度秋学期,60
2.0単位,月1,週間授業,クルモフ　バレリー,F15730 ロボット工学,1,2025年度秋学期,61
2.0単位,月2,週間授業,河村　実生,F15750 半導体工学,1,2025年度春学期,62
2.0単位,月3,週間授業,太田　寛志,F15840 画像工学,1,2025年度春学期,63
2.0単位,月4,週間授業,太田　寛志,F15850 コンピュータネットワーク,1,2025年度秋学期,64
2.0単位,月1,週間授業,道西　博行,F15860 ディジタル回路Ⅰ,1,2025年度秋学期,65
2.0単位,月2,週間授業,荒井　伸太郎,F15910 情報リテラシー,1,2025年度春学期,66
2.0単位,月4,週間授業,七戸　希,F15930 電気回路Ⅲ,1,2025年度春学期,67
2.0単位,月3 月4,週間授業,片山　謙吾／川畑　宣之／尾崎　亮,F16010 情報工学実験 月34 ＪＢクラス,1,2025年度春学期,68
2.0単位,月3,週間授業,麻谷　淳,F16140 情報通信基礎論,1,2025年度春学期,69
2.0単位,月3 月4,週間授業,尾崎　亮,F16230 エンジニアリングデザイン実習 月34 （Ａ）,1,2025年度秋学期,70
2.0単位,月3 月4,週間授業,島田　英之／上嶋　明,F16240 エンジニアリングデザイン実習 月34 （Ｂ）,1,2025年度秋学期,71
1.0単位,月2,週間授業(学期前半),島田　恭宏／上田　千晶,F16320 情報工学フロンティアⅠ (前半)月2 JAクラス,1,2025年度春学期,72
1.0単位,月2,週間授業(学期後半),島田　英之／川畑　宣之／島田　恭宏／西川　憲明／片山　謙吾／尾崎　亮／上嶋　明／麻谷　淳／近藤　真史／上田　千晶,F16340 情報工学フロンティアⅡ (後半)月2 JAクラス,1,2025年度春学期,73
2.0単位,月2,週間授業,川畑　宣之,F16380 ワイヤレスネットワーク,1,2025年度秋学期,74
2.0単位,月1,週間授業,西川　憲明,F16510 オートマトンと言語理論,1,2025年度春学期,75
2.0単位,月4,週間授業,小田　哲也,F16550 応用数学Ⅱ,1,2025年度春学期,76
2.0単位,月3,週間授業,近藤　真史,F16570 論理回路Ⅱ,1,2025年度秋学期,77
2.0単位,月4 木4 木5,週間授業(学期前半),滝澤　昇,F16630 基礎化学Ⅰ (前半)月4木45,1,2025年度春学期,78
2.0単位,月4 月5 木4,週間授業(学期前半),滝澤　昇,F16640 基礎化学Ⅰ (前半)月45木4,1,2025年度秋学期,79
2.0単位,月4 木4 木5,週間授業(学期後半),滝澤　昇,F16650 基礎化学Ⅱ (後半)月4木45,1,2025年度春学期,80
2.0単位,月4 月5 木4,週間授業(学期後半),滝澤　昇,F16660 基礎化学Ⅱ (後半)月45木4,1,2025年度秋学期,81
2.0単位,月2,週間授業,平野　博之／牧　祥／藤田　佳江,F16700 数値実験とプレゼンテーション技法,1,2025年度春学期,82
2.0単位,月1,週間授業,草野　圭弘,F16800 無機化学Ⅰ,1,2025年度春学期,83
2.0単位,月4,週間授業,古賀　雄一,F16830 生化学Ⅱ,1,2025年度秋学期,84
2.0単位,月2,週間授業,永谷　尚紀,F16920 反応工学,1,2025年度春学期,85
2.0単位,月3,週間授業,森山　佳子,F16950 コロイド界面化学,1,2025年度春学期,86
2.0単位,月3,週間授業,永谷　尚紀,F16970 バイオテクノロジー,1,2025年度秋学期,87
2.0単位,月4 月5,週間授業(学期後半),荒木　圭典,F17150 流体力学Ⅱ (後半)月45,1,2025年度秋学期,88
2.0単位,月1,週間授業,中西　啓二／中山　哲士／小林　正実／弥田　俊男／坂本　和彦／平山　文則／堀田　洋之／納村　信之／八百板　季穂／馬淵　大宇／増田　俊哉,F17320 技術者倫理,1,2025年度秋学期,89
3.0単位,月3 月4 月5,週間授業,納村　信之／ジェフリー　ムーサス／弥田　俊男／平山　文則／八百板　季穂／馬淵　大宇／増田　俊哉,F17370 設計演習Ⅱ 月345,1,2025年度春学期,90
3.0単位,月3 月4 月5,週間授業,馬淵　大宇／ジェフリー　ムーサス／弥田　俊男／平山　文則／納村　信之／八百板　季穂／増田　俊哉／水上　健二,F17400 設計演習Ⅲ 月345,1,2025年度秋学期,91
2.0単位,月2,週間授業,江面　嗣人／八百板　季穂／増田　俊哉,F17410 日本建築史,1,2025年度春学期,92
2.0単位,月2,週間授業,弥田　俊男／馬淵　大宇,F17460 近代建築史,1,2025年度秋学期,93
2.0単位,月1,週間授業,中西　啓二,F17640 構造計画,1,2025年度春学期,94
1.0単位,月3,週間授業(学期前半),小畑　秀明,F17970 情報処理演習Ⅰ (前半),1,2025年度春学期,95
1.0単位,月3,週間授業(学期後半),小畑　秀明,F17980 情報処理演習Ⅱ (後半),1,2025年度春学期,96
2.0単位,月4 月5,週間授業,松宮　潔,F18260 電気・電子工学実験 月45,1,2025年度春学期,97
2.0単位,月3,週間授業,堀　純也,F18280 情報処理工学,1,2025年度春学期,98
2.0単位,月3,週間授業,小畑　秀明,F18310 医用生体計測装置学,1,2025年度秋学期,99
1.0単位,月3,週間授業(学期前半),小畑　秀明,F18311 生体計測装置学Ⅰ (前半),1,2025年度秋学期,0
1.0単位,月3,週間授業(学期後半),小畑　秀明,F18312 生体計測装置学Ⅱ (後半),1,2025年度秋学期,1
2.0単位,月2,週間授業,堀　純也,F18370 医用機器安全管理学Ⅰ,1,2025年度秋学期,2
2.0単位,月2,週間授業,堀　純也,F18380 医用機器安全管理学Ⅱ,1,2025年度春学期,3
2.0単位,月2 木2,週間授業(学期前半),川島　正行,F18560 基礎数学Ⅰ (前半)月2木2 川島正行,1,2025年度春学期,4
2.0単位,月2 木2,週間授業(学期前半),江本　正喜,F18570 基礎数学Ⅰ (前半)月2木2 江本正喜,1,2025年度春学期,5
2.0単位,月2 木2,週間授業(学期前半),河野　敏行,F18580 基礎数学Ⅰ (前半)月2木2 河野敏行,1,2025年度春学期,6
2.0単位,月2 木2,週間授業(学期前半),菅野　幸夫,F18590 基礎数学Ⅰ (前半)月2木2 菅野幸夫,1,2025年度春学期,7
2.0単位,月2 木2,週間授業(学期後半),加瀬　遼一,F18640 基礎解析Ⅰ (後半)月2木2 加瀬遼一,1,2025年度春学期,8
2.0単位,月2 木2,週間授業(学期後半),川島　正行,F18650 基礎解析Ⅰ (後半)月2木2 川島正行,1,2025年度春学期,9
2.0単位,月2 木2,週間授業(学期後半),李　天鎬,F18660 基礎解析Ⅰ (後半)月2木2 李天鎬,1,2025年度春学期,10
2.0単位,月2 木2,週間授業(学期後半),荒木　圭典,F18670 基礎解析Ⅰ (後半)月2木2 荒木圭典,1,2025年度春学期,11
2.0単位,月2 木2,週間授業(学期前半),加瀬　遼一,F18720 線形代数Ⅰ (前半)月2木2 加瀬遼一,1,2025年度秋学期,12
2.0単位,月2 木2,週間授業(学期前半),榊原　道夫,F18730 線形代数Ⅰ (前半)月2木2 榊原道夫,1,2025年度秋学期,13
2.0単位,月2 木2,週間授業(学期前半),河野　敏行,F18740 線形代数Ⅰ (前半)月2木2 河野敏行,1,2025年度秋学期,14
2.0単位,月2 木2,週間授業(学期前半),荒木　圭典,F18750 線形代数Ⅰ (前半)月2木2 荒木圭典,1,2025年度秋学期,15
2.0単位,月2 木2,週間授業(学期後半),加瀬　遼一,F18760 線形代数Ⅱ (後半)月2木2 加瀬遼一,1,2025年度秋学期,16
2.0単位,月2 木2,週間授業(学期後半),松下　尚史,F18770 線形代数Ⅱ (後半)月2木2 松下尚史,1,2025年度秋学期,17
2.0単位,月2 木2,週間授業(学期後半),榊原　道夫,F18780 線形代数Ⅱ (後半)月2木2 榊原道夫,1,2025年度秋学期,18
2.0単位,月2 木2,週間授業(学期後半),河野　敏行,F18790 線形代数Ⅱ (後半)月2木2 河野敏行,1,2025年度秋学期,19
2.0単位,月3 木3,週間授業(学期前半),三宅　新二,F18940 情報リテラシー (前半)月3木3 三宅新二,1,2025年度春学期,20
2.0単位,月3 木3,週間授業(学期前半),北川　文夫,F18950 情報リテラシー (前半)月3木3 北川文夫,1,2025年度春学期,21
2.0単位,月3 木3,週間授業(学期前半),廣田　雅春,F18960 情報リテラシー (前半)月3木3 廣田雅春,1,2025年度春学期,22
2.0単位,月3 木3,週間授業(学期前半),秋山　英久,F18970 情報リテラシー (前半)月3木3 秋山英久,1,2025年度春学期,23
2.0単位,月3 木3,週間授業(学期前半),荒木　圭典,F18980 情報リテラシー (前半)月3木3 荒木圭典,1,2025年度春学期,24
2.0単位,月3 木3,週間授業(学期後半),三宅　新二,F18990 情報処理入門 (後半)月3木3 三宅新二,1,2025年度春学期,25
2.0単位,月3 木3,週間授業(学期後半),山田　訓,F19000 情報処理入門 (後半)月3木3 山田訓,1,2025年度春学期,26
2.0単位,月3 木3,週間授業(学期後半),廣田　雅春,F19010 情報処理入門 (後半)月3木3 廣田雅春,1,2025年度春学期,27
2.0単位,月3 木3,週間授業(学期後半),木戸　善之,F19020 情報処理入門 (後半)月3木3 木戸善之,1,2025年度春学期,28
2.0単位,月4,週間授業,田中　宏和,F19180 情報関連法学,1,2025年度秋学期,29
2.0単位,月4,週間授業,赤木　徹也／荒木　圭典／趙　菲菲／横田　雅司／小林　亘,F19220 ものづくり体験演習,1,2025年度春学期,30
2.0単位,月3,週間授業,藤本　真作／赤木　徹也／趙　菲菲／横田　雅司／小林　亘,F19250 ロボット創造工学Ⅱ,1,2025年度秋学期,31
2.0単位,月4,週間授業,松浦　洋司,F19350 材料力学Ⅰ,1,2025年度春学期,32
2.0単位,月3,週間授業,小林　亘,F19370 流体力学,1,2025年度春学期,33
2.0単位,月2 木2,週間授業(学期後半),栁　貴久男,F19480 確率 (後半)月2木2,1,2025年度春学期,34
2.0単位,月1,週間授業,綴木　馴,F19490 数値解析 綴木馴,1,2025年度秋学期,35
2.0単位,月1,週間授業,河野　敏行,F19500 数値解析 河野敏行,1,2025年度秋学期,36
2.0単位,月4,週間授業,平松　直哉,F19510 解析Ⅱ,1,2025年度秋学期,37
2.0単位,月3 木3,週間授業(学期前半),加瀬　遼一,F19520 代数Ⅰ (前半)月3木3,1,2025年度秋学期,38
2.0単位,月3 木3,週間授業(学期後半),加瀬　遼一,F19530 代数Ⅱ (後半)月3木3,1,2025年度秋学期,39
2.0単位,月3,週間授業,安田　貴徳,F19600 暗号理論,1,2025年度春学期,40
2.0単位,月2,週間授業,劉　渤江,F19610 ネットワーク技術論,1,2025年度春学期,41
2.0単位,月2 木2,週間授業(学期前半),栁　貴久男,F19830 統計 (前半)月2木2,1,2025年度春学期,42
2.0単位,月3,週間授業,栁　貴久男,F19880 データ分析法,1,2025年度秋学期,43
2.0単位,月1,週間授業,大山　和紀,F19940 ゲームグラフィックス,1,2025年度春学期,44
2.0単位,月1,週間授業,大山　和紀,F19960 ゲーミフィケーション,1,2025年度秋学期,45
2.0単位,月2,週間授業,菅野　幸夫,F19990 音とコンピュータ,1,2025年度秋学期,46
2.0単位,月3,週間授業,江本　正喜,F20000 映像制作技術論,1,2025年度春学期,47
2.0単位,月2,週間授業,浅山　泰祐,F20040 コンピュータグラフィックス演習,1,2025年度秋学期,48
2.0単位,月2,週間授業,藤本　真作,F20070 ロボット運動学,1,2025年度秋学期,49
2.0単位,月1,週間授業,藤本　真作,F20080 ロボットダイナミクス,1,2025年度春学期,50
2.0単位,月1 月2,週間授業(学期後半),荒木　圭典,F20150 ロボット制御プログラミング (後半)月12,1,2025年度秋学期,51
2.0単位,月2,週間授業,松浦　洋司,F20260 材料工学,1,2025年度春学期,52
2.0単位,月1,週間授業,三宅　新二,F20340 オペレーティングシステム,1,2025年度秋学期,53
2.0単位,月4,週間授業,栁　貴久男,F20380 解析演習,1,2025年度春学期,54
1.0単位,月4,週間授業(学期前半),栁　貴久男,F20381 解析演習Ⅰ (前半),1,2025年度春学期,55
