曜日時限,授業科目,担当教員,開講区分,開講年度学期,単位数,曜日
月2,F08481 ドイツ語ⅠＡ (前半)ドイツ語 入江 祐加,入江　祐加,週間授業(学期前半),2025年度春学期,0.5単位,1
月2,F08482 ドイツ語ⅠＢ (後半)ドイツ語 入江 祐加,入江　祐加,週間授業(学期後半),2025年度春学期,0.5単位,1
月3,F08500 初修外国語１ ドイツ語 入江 祐加,入江　祐加,週間授業,2025年度秋学期,2.0単位,1
月3,F08501 ドイツ語ⅠＡ (前半)ドイツ語 入江 祐加,入江　祐加,週間授業(学期前半),2025年度秋学期,0.5単位,1
月3,F08502 ドイツ語ⅠＢ (後半)ドイツ語 入江 祐加,入江　祐加,週間授業(学期後半),2025年度秋学期,0.5単位,1
月3,F08810 初修外国語１ 中国語 楊 霊琳,楊　霊琳,週間授業,2025年度春学期,2.0単位,1
月3,F08811 中国語ⅠＡ (前半)中国語 楊 霊琳,楊　霊琳,週間授業(学期前半),2025年度春学期,0.5単位,1
月3,F08812 中国語ⅠＢ (後半)中国語 楊 霊琳,楊　霊琳,週間授業(学期後半),2025年度春学期,0.5単位,1
月4,F08820 初修外国語１ 中国語 楊 霊琳,楊　霊琳,週間授業,2025年度春学期,2.0単位,1
月4,F08821 中国語ⅠＡ (前半)中国語 楊 霊琳,楊　霊琳,週間授業(学期前半),2025年度春学期,0.5単位,1
月4,F08822 中国語ⅠＢ (後半)中国語 楊 霊琳,楊　霊琳,週間授業(学期後半),2025年度春学期,0.5単位,1
月3,F08850 初修外国語１ 中国語 楊 霊琳,楊　霊琳,週間授業,2025年度秋学期,2.0単位,1
月3,F08851 中国語ⅠＡ (前半)中国語 楊 霊琳,楊　霊琳,週間授業(学期前半),2025年度秋学期,0.5単位,1
月3,F08852 中国語ⅠＢ (後半)中国語 楊 霊琳,楊　霊琳,週間授業(学期後半),2025年度秋学期,0.5単位,1
月5,F09290 ブドウ・ワイン概論,金子　明裕／川俣　昌大,週間授業,2025年度春学期,2.0単位,1
月5,F09291 ワインの歴史と風土・文化 (前半),金子　明裕／川俣　昌大,週間授業(学期前半),2025年度春学期,1.0単位,1
月5,F09292 ワインの科学 (後半),金子　明裕／川俣　昌大,週間授業(学期後半),2025年度春学期,1.0単位,1
月5,F09293 ブドウ・ワイン概論,金子　明裕／川俣　昌大,週間授業,2025年度春学期,2.0単位,1
月3,F09350 科学・工作ボランティア入門,高原　周一／木庭　雅保／米田　稔／上嶋　明／新原　隆史／重松　利信／糸山　嘉彦／春日　二郎／牧　涼介／吉木　才三,週間授業,2025年度春学期,2.0単位,1
月3,F09351 科学・工作ボランティア入門,高原　周一／木庭　雅保／米田　稔／上嶋　明／新原　隆史／重松　利信／糸山　嘉彦／春日　二郎／牧　涼介／吉木　才三,週間授業,2025年度春学期,2.0単位,1
月1,F09470 リーダーシップ論,野間川内　一樹／安井　正也／中山　紘之／林　恒宏／横山　ひとみ,週間授業,2025年度春学期,2.0単位,1
月1,F09471 リーダーシップ論,野間川内　一樹／安井　正也／中山　紘之／林　恒宏／横山　ひとみ,週間授業,2025年度春学期,2.0単位,1
月1,F10690 教職のための物理,加地　博子,週間授業,2025年度春学期,2.0単位,1
月3,F10700 教職のための化学,酒井　誠,週間授業,2025年度秋学期,2.0単位,1
月2,F10790 データの数理Ⅰ,青山　崇洋,週間授業,2025年度春学期,2.0単位,1
月3 木3,F11090 微分積分学と演習Ⅲ (前半)月3木3 ＭＡクラス,森　義之,週間授業(学期前半),2025年度秋学期,2.0単位,1
月4 木4,F11100 微分積分学と演習Ⅲ (前半)月4木4 ＭＢクラス,森　義之,週間授業(学期前半),2025年度秋学期,2.0単位,1
月3 木3,F11110 微分積分学と演習Ⅳ (後半)月3木3 ＭＡクラス,瓜屋　航太,週間授業(学期後半),2025年度秋学期,2.0単位,1
月4 木4,F11120 微分積分学と演習Ⅳ (後半)月4木4 ＭＢクラス,瓜屋　航太,週間授業(学期後半),2025年度秋学期,2.0単位,1
月3 木3,F11170 線型代数学と演習Ⅲ (前半)月3木3 ＭＢクラス,柴田　大樹,週間授業(学期前半),2025年度秋学期,2.0単位,1
月4 木4,F11180 線型代数学と演習Ⅲ (前半)月4木4 ＭＡクラス,柴田　大樹,週間授業(学期前半),2025年度秋学期,2.0単位,1
月3 木3,F11190 線型代数学と演習Ⅳ (後半)月3木3 ＭＢクラス,山田　紀美子,週間授業(学期後半),2025年度秋学期,2.0単位,1
月4 木4,F11200 線型代数学と演習Ⅳ (後半)月4木4 ＭＡクラス,山田　紀美子,週間授業(学期後半),2025年度秋学期,2.0単位,1
月1,F11390 代数学と演習Ⅱ,浜畑　芳紀,週間授業,2025年度秋学期,2.0単位,1
月2,F11410 代数学と演習Ⅳ,浜畑　芳紀,週間授業,2025年度秋学期,2.0単位,1
月2,F11411 代数学演習Ⅱａ (前半),浜畑　芳紀,週間授業(学期前半),2025年度秋学期,1.0単位,1
月2,F11412 代数学演習Ⅱｂ (後半),浜畑　芳紀,週間授業(学期後半),2025年度秋学期,1.0単位,1
月2,F11440 幾何学と演習Ⅲ,阿部　拓,週間授業,2025年度春学期,2.0単位,1
月1,F11510 形の数理Ⅱ,阿部　拓,週間授業,2025年度春学期,2.0単位,1
月3,F11570 計算機とアルゴリズムⅠ ＭＡクラス,森　義之,週間授業,2025年度春学期,2.0単位,1
月4,F11580 計算機とアルゴリズムⅠ ＭＢクラス,森　義之,週間授業,2025年度春学期,2.0単位,1
月1,F11590 計算機とアルゴリズムⅡ ＭＡクラス,陰山　真矢,週間授業,2025年度秋学期,2.0単位,1
月2,F11600 計算機とアルゴリズムⅡ ＭＢクラス,陰山　真矢,週間授業,2025年度秋学期,2.0単位,1
月3,F11610 力学,田邉　洋一,週間授業,2025年度春学期,2.0単位,1
月5,F11670 情報システム概論Ⅱ,伊代野　淳,週間授業,2025年度秋学期,2.0単位,1
月3,F11720 学習・発達論,中島　弘徳,週間授業,2025年度春学期,2.0単位,1
月3,F11721 教育心理学,中島　弘徳,週間授業,2025年度春学期,2.0単位,1
月1,F11760 ネットワークとセキュリティーⅠ,伊代野　淳,週間授業,2025年度秋学期,2.0単位,1
月2,F11770 ネットワークとセキュリティーⅡ,森　嘉久,週間授業,2025年度秋学期,2.0単位,1
月2,F11810 環境科学,齋藤　達昭／藤木　利之,週間授業,2025年度春学期,2.0単位,1
月1,F11820 線形代数学Ⅲ,荒谷　督司,週間授業,2025年度春学期,2.0単位,1
月1,F11860 環境地球化学,新原　隆史,週間授業,2025年度秋学期,2.0単位,1
月4,F11900 教職のための数学Ⅰ,稲葉　和正,週間授業,2025年度秋学期,2.0単位,1
月4 月5,F12000 地学実験 月45 ＳＢクラス,鎌滝　孝信／新原　隆史,週間授業,2025年度春学期,2.0単位,1
月4 月5,F12130 解析学続論Ⅲ (前半)月45,長渕　裕,週間授業(学期前半),2025年度秋学期,2.0単位,1
月4 月5,F12140 解析学続論Ⅳ (後半)月45,長渕　裕,週間授業(学期後半),2025年度秋学期,2.0単位,1
月1,F12180 幾何学Ⅱ,稲葉　和正,週間授業,2025年度秋学期,2.0単位,1
月4 月5,F12290 生物学実験 月45 ＳＡクラス,藤木　利之／齋藤　達昭／中野　晏志,週間授業,2025年度春学期,2.0単位,1
月4 月5,F12291 生物学実験Ⅰ (前半)月45 ＳＡクラス,藤木　利之／齋藤　達昭／中野　晏志,週間授業(学期前半),2025年度春学期,1.0単位,1
月4 月5,F12292 生物学実験Ⅱ (後半)月45 ＳＡクラス,藤木　利之／齋藤　達昭／中野　晏志,週間授業(学期後半),2025年度春学期,1.0単位,1
月1,F12320 宇宙科学,伊代野　淳,週間授業,2025年度春学期,2.0単位,1
月4,F12370 基礎物理学Ⅰ ＳＡクラス,加地　博子,週間授業,2025年度春学期,2.0単位,1
月4,F12380 基礎物理学Ⅰ ＳＢクラス,田邉　洋一,週間授業,2025年度春学期,2.0単位,1
月3,F12390 基礎物理学Ⅱ ＳＡクラス,加地　博子,週間授業,2025年度秋学期,2.0単位,1
月3,F12400 基礎物理学Ⅱ ＳＢクラス,田邉　洋一,週間授業,2025年度秋学期,2.0単位,1
月3,F12500 確率・統計Ⅰ,山崎　洋一,週間授業,2025年度春学期,2.0単位,1
月2,F12610 電気磁気学Ⅱ,森　嘉久,週間授業,2025年度春学期,2.0単位,1
月2,F12640 質点の力学Ⅰ,長尾　桂子,週間授業,2025年度春学期,2.0単位,1
月3,F12690 基礎電磁気学Ⅰ （教免以外）,山下　善文,週間授業,2025年度秋学期,2.0単位,1
月3,F12700 基礎電磁気学Ⅰ （教免）,山本　薫,週間授業,2025年度秋学期,2.0単位,1
月3,F12710 基礎電磁気学Ⅱ （教免以外）,山下　善文,週間授業,2025年度春学期,2.0単位,1
月3,F12720 基礎電磁気学Ⅱ （教免）,山本　薫,週間授業,2025年度春学期,2.0単位,1
月2,F12820 計測工学,石田　弘樹,週間授業,2025年度春学期,2.0単位,1
月4,F12870 ベクトル解析・解析力学,山内　大介,週間授業,2025年度春学期,2.0単位,1
月1,F12940 熱統計物理,今井　剛樹,週間授業,2025年度秋学期,2.0単位,1
月2,F12990 素粒子・原子核物理,長尾　桂子,週間授業,2025年度秋学期,2.0単位,1
月4 月5,F13020 物理学基礎実験 月45,豊田　新／小坂　圭二／内田　乃,週間授業,2025年度春学期,2.0単位,1
月1,F13170 有機反応化学,若松　寛,週間授業,2025年度秋学期,2.0単位,1
月3,F13220 無機化学演習,満身　稔／佐藤　泰史,週間授業,2025年度秋学期,2.0単位,1
月3,F13270 量子化学,酒井　誠,週間授業,2025年度春学期,2.0単位,1
月1,F13310 有機分析化学,岩永　哲夫,週間授業,2025年度春学期,2.0単位,1
